,A,B
1043,CD86,CD28
1044,ICOSLG,CD28
1045,JAML,CD320
1046,C1QA,CD33
1047,SAA1,CD36
1048,LY6H,CD36
1049,NRN1,CD36
1050,SCRG1,CD36
1051,VWC2L,CD36
1052,PECAM1,CD38
1053,IL16,CD4
1054,CD40LG,CD40
1055,C4BPA,CD40
1056,VCAN,CD44
1057,SPP1,CD44
1058,SIGLEC15,CD44
1059,JAG1,CD46
1060,CD72,CD5
1061,ADGRE5,CD55
1062,LGALS1,CD69
1063,SEMA4D,CD72
1064,MIF,CD74
1065,APP,CD74
1066,CD274,CD80
1067,CD84,CD84
1068,CEACAM5,CD8A
1069,IL16,CD9
1070,C1QA,CD93
1071,MMRN2,CD93
1072,PVR,CD96
1073,NECTIN1,CD96
1074,NECTIN2,CD96
1075,FCER2,CDH2
1076,CEACAM1,CEACAM1
1077,CEACAM1,CEACAM5
1078,CEACAM1,CEACAM6
1079,CEACAM6,CEACAM6
1080,CEACAM1,CEACAM8
1081,CEACAM6,CEACAM8
1082,CELSR2,CELSR2
1083,CELSR3,CELSR3
1084,CHL1,CHL1
1085,MMRN2,CLEC14A
1086,RARRES2,CMKLR1
1087,HSPG2,COL13A1
1088,C3,CR1
1089,C3,CR2
1090,FCER2,CR2
1091,CADM1,CRTAM
1092,CSF3,CSF3R
1093,C1QA,CSPG4
1094,CD44,CSPG4
1095,FGF1,CSPG4
1096,CD80,CTLA4
1097,ICOSLG,CTLA4
1098,CD86,CTLA4
1099,CX3CL1,CX3CR1
1100,CCL26,CX3CR1
1101,JAML,CXADR
1102,CXCL1,CXCR1
1103,CXCL8,CXCR1
1104,CXCL6,CXCR1
1105,PPBP,CXCR1
1106,CXCL8,CXCR2
1107,CXCL5,CXCR2
1108,CXCL6,CXCR2
1109,CXCL1,CXCR2
1110,PPBP,CXCR2
1111,CXCL2,CXCR2
1112,CXCL3,CXCR2
1113,MIF,CXCR2
1114,CXCL10,CXCR3
1115,CXCL11,CXCR3
1116,CXCL9,CXCR3
1117,CCL11,CXCR3
1118,PF4V1,CXCR3
1119,PF4,CXCR3
1120,CXCL13,CXCR3
1121,CXCL12,CXCR4
1122,CXCL14,CXCR4
1123,MIF,CXCR4
1124,CXCL13,CXCR5
1125,CXCL16,CXCR6
1126,SEMA4B,DCBLD2
1127,ICAM5,DCC
1128,IGFBP7,DCC
1129,IGFBPL1,DCC
1130,NTN1,DCC
1131,LTF,DCC
1132,PSG7,DCC
1133,WFIKKN2,DCC
1134,COL4A1,DDR1
1135,COL4A2,DDR1
1136,COL4A3,DDR1
1137,COL4A4,DDR1
1138,COL4A5,DDR1
1139,COL4A6,DDR1
1140,COL5A1,DDR1
1141,COL5A2,DDR1
1142,COL5A3,DDR1
1143,COL6A1,DDR1
1144,COL6A2,DDR1
1145,COL6A3,DDR1
1146,COL6A5,DDR1
1147,COL6A6,DDR1
1148,COL8A1,DDR1
1149,COL1A1,DDR1
1150,COL1A2,DDR1
1151,COL2A1,DDR1
1152,COL3A1,DDR1
1153,COL1A1,DDR2
1154,COL1A2,DDR2
1155,COL3A1,DDR2
1156,FSTL1,DIP2A
1157,PSG7,DSCAM
1158,PSG9,DSCAM
1159,DSC1,DSG1
1160,DSC2,DSG1
1161,DSC3,DSG1
1162,DSC1,DSG2
1163,DSC2,DSG2
1164,DSC3,DSG2
1165,DSC1,DSG3
1166,DSC2,DSG3
1167,DSC3,DSG3
1168,DSC1,DSG4
1169,DSC2,DSG4
1170,DSC3,DSG4
1171,EDA,EDA2R
1172,EDA,EDAR
1173,EDN1,EDNRA
1174,EDN2,EDNRA
1175,EDN3,EDNRA
1176,EDN1,EDNRB
1177,EDN2,EDNRB
1178,EDN3,EDNRB
1179,AREG,EGFR
1180,BTC,EGFR
1181,EGF,EGFR
1182,EREG,EGFR
1183,DCN,EGFR
1184,EFEMP1,EGFR
1185,MIF,EGFR
1186,TGFA,EGFR
1187,EPGN,EGFR
1188,ANG,EGFR
1189,HBEGF,EGFR
1190,SPINK1,EGFR
1191,APOB,ENO1
1192,EFNA1,EPHA1
1193,EFNA2,EPHA1
1194,EFNA3,EPHA1
1195,EFNA4,EPHA1
1196,EFNA5,EPHA1
1197,EFNB1,EPHA2
1198,EFNA1,EPHA2
1199,EFNA2,EPHA2
1200,EFNA3,EPHA2
1201,EFNA4,EPHA2
1202,EFNA5,EPHA2
1203,EFNA1,EPHA3
1204,EFNA2,EPHA3
1205,EFNA3,EPHA3
1206,EFNA4,EPHA3
1207,EFNA5,EPHA3
1208,EFNA1,EPHA4
1209,EFNA2,EPHA4
1210,EFNA3,EPHA4
1211,EFNA4,EPHA4
1212,EFNA5,EPHA4
1213,EFNB1,EPHA4
1214,EFNB2,EPHA4
1215,EFNB3,EPHA4
1216,EFNA1,EPHA5
1217,EFNA2,EPHA5
1218,EFNA3,EPHA5
1219,EFNA4,EPHA5
1220,EFNA5,EPHA5
1221,EFNA1,EPHA7
1222,EFNA2,EPHA7
1223,EFNA3,EPHA7
1224,EFNA4,EPHA7
1225,EFNA5,EPHA7
1226,EFNA1,EPHA8
1227,EFNA2,EPHA8
1228,EFNA3,EPHA8
1229,EFNA4,EPHA8
1230,EFNA5,EPHA8
1231,EFNB1,EPHB1
1232,EFNB2,EPHB1
1233,EFNB3,EPHB1
1234,EFNA5,EPHB2
1235,EFNB1,EPHB2
1236,EFNB2,EPHB2
1237,EFNB3,EPHB2
1238,EFNB1,EPHB3
1239,EFNB2,EPHB3
1240,EFNB3,EPHB3
1241,EPO,EPHB4
1242,EFNB1,EPHB4
1243,EFNB2,EPHB4
1244,EFNB3,EPHB4
1245,EFNB1,EPHB6
1246,EFNB2,EPHB6
1247,EFNB3,EPHB6
1248,TGFA,ERBB2
1249,HBEGF,ERBB2
1250,EFNB1,ERBB2
1251,NRG2,ERBB3
1252,L1CAM,ERBB3
1253,BTC,ERBB4
1254,EREG,ERBB4
1255,NRG4,ERBB4
1256,TGFA,ERBB4
1257,DCN,ERBB4
1258,HBEGF,ERBB4
1259,L1CAM,ERBB4
1260,ESAM,ESAM
1261,F11R,F11R
1262,FASLG,FAS
1263,NCAM1,FGFR1
1264,FGF1,FGFR1
1265,FGF10,FGFR1
1266,FGF16,FGFR1
1267,FGF17,FGFR1
1268,FGF18,FGFR1
1269,FGF19,FGFR1
1270,FGF20,FGFR1
1271,FGF21,FGFR1
1272,FGF23,FGFR1
1273,FGF3,FGFR1
1274,FGF4,FGFR1
1275,FGF5,FGFR1
1276,FGF6,FGFR1
1277,FGF8,FGFR1
1278,FGF9,FGFR1
1279,FGF1,FGFR2
1280,FGF10,FGFR2
1281,FGF16,FGFR2
1282,FGF17,FGFR2
1283,FGF18,FGFR2
1284,FGF19,FGFR2
1285,FGF2,FGFR2
1286,FGF20,FGFR2
1287,FGF22,FGFR2
1288,FGF3,FGFR2
1289,FGF4,FGFR2
1290,FGF5,FGFR2
1291,FGF6,FGFR2
1292,FGF7,FGFR2
1293,FGF8,FGFR2
1294,FGF9,FGFR2
1295,FCER2,FGFR2
1296,BGN,FGFR3
1297,FGF1,FGFR3
1298,FGF16,FGFR3
1299,FGF17,FGFR3
1300,FGF18,FGFR3
1301,FGF19,FGFR3
1302,FGF2,FGFR3
1303,FGF20,FGFR3
1304,FGF21,FGFR3
1305,FGF23,FGFR3
1306,FGF4,FGFR3
1307,FGF5,FGFR3
1308,FGF6,FGFR3
1309,FGF8,FGFR3
1310,FGF9,FGFR3
1311,IL1RAPL2,FGFR3
1312,FGF1,FGFR4
1313,FGF16,FGFR4
1314,FGF17,FGFR4
1315,FGF18,FGFR4
1316,FGF19,FGFR4
1317,FGF2,FGFR4
1318,FGF20,FGFR4
1319,FGF23,FGFR4
1320,FGF4,FGFR4
1321,FGF5,FGFR4
1322,FGF6,FGFR4
1323,FGF8,FGFR4
1324,FGF9,FGFR4
1325,SDC2,FGFR4
1326,TGFBR3,FGFR4
1327,FGF22,FGFRL1
1328,FGF8,FGFRL1
1329,FGF3,FGFRL1
1330,FGF4,FGFRL1
1331,FLT3LG,FLT3
1332,VEGFC,FLT4
1333,VEGFD,FLT4
1334,ANXA1,FPR1
1335,CCL23,FPR2
1336,APP,FPR2
1337,ANXA1,FPR2
1338,SAA1,FPR2
1339,ANXA1,FPR3
1340,SPX,GALR2
1341,GAL,GALR2
1342,SPX,GALR3
1343,GDF15,GFRAL
1344,GH1,GHR
1345,GH2,GHR
1346,RARRES2,GPR1
1347,PSAP,GPR37
1348,PSAP,GPR37L1
1349,CCL5,GPR75
1350,NMB,GRPR
1351,GRP,GRPR
1352,GUCA2A,GUCY2C
1353,HAVCR1,HAVCR1
1354,LGALS9,HAVCR2
1355,HMGB1,HAVCR2
1356,CEACAM1,HAVCR2
1357,CCL16,HRH4
1358,CLEC4M,ICAM3
1359,CD209,ICAM3
1360,ICOSLG,ICOS
1361,CD93,IFNGR1
1362,ICAM5,IGDCC3
1363,IGFBP7,IGDCC3
1364,IGFBPL1,IGDCC3
1365,LTF,IGDCC3
1366,WFIKKN2,IGDCC3
1367,ICAM5,IGDCC4
1368,IGFBP7,IGDCC4
1369,IGFBPL1,IGDCC4
1370,LTF,IGDCC4
1371,WFIKKN2,IGDCC4
1372,INS,IGF1R
1373,IGF2,IGF1R
1374,IGF1,IGF1R
1375,GZMB,IGF2R
1376,IGF2,IGF2R
1377,IL13,IL13RA2
1378,IL17B,IL17RB
1379,IL25,IL17RB
1380,IL1RN,IL1R1
1381,IL1RN,IL1R2
1382,IL1F10,IL1RAPL1
1383,IL1F10,IL1RAPL2
1384,IL36RN,IL1RL2
1385,IL1F10,IL1RL2
1386,IL22,IL22RA2
1387,ICAM5,IL6R
1388,IGFBP7,IL6R
1389,IGFBPL1,IL6R
1390,LTF,IL6R
1391,WFIKKN2,IL6R
1392,CD248,IL6R
1393,CD1B,IL6ST
1394,INS,INSR
1395,ICAM5,ISLR2
1396,IGFBP7,ISLR2
1397,IGFBPL1,ISLR2
1398,LEP,ISLR2
1399,LTF,ISLR2
1400,WFIKKN2,ISLR2
1401,CALR,ITGA3
1402,IL32,ITGB3
1403,F11R,JAM2
1404,JAM2,JAM2
1405,JAM2,JAM3
1406,JAM3,JAM3
1407,VEGFC,KDR
1408,TIMP3,KDR
1409,VEGFD,KDR
1410,DCN,KDR
1411,BSG,KDR
1412,GREM1,KDR
1413,HLA-C,KIR2DL1
1414,HLA-C,KIR2DL2
1415,HLA-C,KIR2DL3
1416,HLA-G,KIR2DL4
1417,TAFA2,KIR2DL5A
1418,PVR,KIR2DL5A
1419,PVR,KIR2DL5B
1420,HLA-C,KIR2DS1
1421,HLA-A,KIR2DS2
1422,HLA-C,KIR2DS2
1423,HLA-A,KIR2DS4
1424,HLA-C,KIR2DS4
1425,HLA-F,KIR3DL1
1426,HLA-B,KIR3DL1
1427,HLA-A,KIR3DL1
1428,TAFA2,KIR3DL1
1429,HLA-B,KIR3DL2
1430,HLA-F,KIR3DL2
1431,HLA-A,KIR3DL2
1432,TAFA2,KIR3DL2
1433,HHLA2,KIR3DL3
1434,TAFA2,KIR3DL3
1435,HLA-F,KIR3DS1
1436,HLA-B,KIR3DS1
1437,KISS1,KISS1R
1438,KITLG,KIT
1439,CLEC2D,KLRB1
1440,CLEC2B,KLRF1
1441,CLEC2A,KLRF2
1442,CDH1,KLRG1
1443,L1CAM,L1CAM
1444,CHL1,L1CAM
1445,CLEC4G,LAG3
1446,LGALS3,LAG3
1447,FGL1,LAG3
1448,HLA-DPA1,LAG3
1449,HLA-DPA2,LAG3
1450,HLA-DPA3,LAG3
1451,HLA-DPB1,LAG3
1452,HLA-DPB2,LAG3
1453,HLA-DQA1,LAG3
1454,HLA-DQA2,LAG3
1455,HLA-DQB1,LAG3
1456,HLA-DQB2,LAG3
1457,HLA-DQB3,LAG3
1458,HLA-DRA,LAG3
1459,HLA-DRB1,LAG3
1460,HLA-DRB2,LAG3
1461,HLA-DRB4,LAG3
1462,HLA-DRB5,LAG3
1463,HLA-DRB6,LAG3
1464,HLA-DRB7,LAG3
1465,HLA-DRB8,LAG3
1466,HLA-DRB9,LAG3
1467,SFTPD,LAIR1
1468,LAIR1,LAIR1
1469,LRPAP1,LDLR
1470,APOB,LDLR
1471,APOE,LDLR
1472,LEP,LEPR
1473,LGALS1,LGALS1
1474,RSPO1,LGR4
1475,RSPO2,LGR4
1476,RSPO3,LGR4
1477,RSPO4,LGR4
1478,RSPO1,LGR5
1479,RSPO2,LGR5
1480,RSPO3,LGR5
1481,RSPO4,LGR5
1482,RSPO1,LGR6
1483,RSPO2,LGR6
1484,RSPO3,LGR6
1485,RSPO4,LGR6
1486,FAM3C,LIFR
1487,BST2,LILRA4
1488,HLA-F,LILRB1
1489,HLA-G,LILRB1
1490,HLA-A,LILRB1
1491,HLA-B,LILRB1
1492,HLA-C,LILRB1
1493,HLA-G,LILRB2
1494,CD1D,LILRB2
1495,SEMA4A,LILRB2
1496,HLA-F,LILRB2
1497,HLA-C,LILRB2
1498,LAIR1,LILRB4
1499,LCN1,LMBR1L
1500,SERPINE1,LRP1
1501,MDK,LRP1
1502,APOB,LRP2
1503,DKK1,LRP4
1504,SOST,LRP4
1505,SOST,LRP5
1506,DKK1,LRP5
1507,DKK2,LRP5
1508,SOST,LRP6
1509,LRPAP1,LRP8
1510,RELN,LRP8
1511,APOB,LSR
1512,APOE,LSR
1513,TNFSF14,LTBR
1514,ALKAL1,LTK
1515,ALKAL2,LTK
1516,LY9,LY9
1517,MCAM,MCAM
1518,CNTN1,MCAM
1519,GAS6,MERTK
1520,PROS1,MERTK
1521,HGF,MET
1522,DCN,MET
1523,PTN,MFRP
1524,THPO,MPL
1525,MPZL1,MPZL1
1526,ADM,MRGPRX2
1527,MST1,MST1R
1528,SIGLEC9,MUC1
1529,KMT2E,NCR2
1530,NCR3LG1,NCR3
1531,BAG6,NCR3
1532,CADM3,NECTIN1
1533,CADM3,NECTIN3
1534,CADM1,NECTIN3
1535,ICAM5,NEO1
1536,IGFBP7,NEO1
1537,IGFBPL1,NEO1
1538,LTF,NEO1
1539,CD80,NGFR
1540,NMB,NMBR
1541,GRP,NMBR
1542,CNTN1,NOTCH1
1543,DLK1,NOTCH1
1544,DLL3,NOTCH1
1545,DLL1,NOTCH1
1546,JAG1,NOTCH1
1547,DLL4,NOTCH1
1548,JAG2,NOTCH1
1549,CNTN1,NOTCH2
1550,DLL3,NOTCH2
1551,JAG1,NOTCH2
1552,JAG2,NOTCH2
1553,DLL1,NOTCH2
1554,DLK1,NOTCH2
1555,DLL4,NOTCH2
1556,MDK,NOTCH2
1557,DLL3,NOTCH3
1558,JAG1,NOTCH3
1559,JAG2,NOTCH3
1560,DLL1,NOTCH3
1561,DLK1,NOTCH3
1562,DLL4,NOTCH3
1563,DLL1,NOTCH4
1564,DLL3,NOTCH4
1565,DLL4,NOTCH4
1566,JAG1,NOTCH4
1567,JAG2,NOTCH4
1568,DLK1,NOTCH4
1569,OSTN,NPR3
1570,CNTN1,NRCAM
1571,PGF,NRP1
1572,VEGFB,NRP1
1573,VEGFA,NRP1
1574,C3,NRP1
1575,C4A,NRP1
1576,HGF,NRP1
1577,FGF1,NRP1
1578,FGF2,NRP1
1579,FGF4,NRP1
1580,FGF7,NRP1
1581,FGFR1,NRP1
1582,SEMA4A,NRP1
1583,VEGFA,NRP2
1584,PGF,NRP2
1585,VEGFC,NRP2
1586,SEMA3C,NRP2
1587,SEMA3F,NRP2
1588,NLGN1,NRXN1
1589,TIE1,NTRK1
1590,SLITRK4,OLR1
1591,AVP,OXTR
1592,OXT,OXTR
1593,CD274,PDCD1
1594,PDCD1LG2,PDCD1
1595,PDGFA,PDGFRA
1596,PDGFB,PDGFRA
1597,PDGFC,PDGFRA
1598,PDGFD,PDGFRB
1599,PDGFB,PDGFRB
1600,CLEC1B,PDPN
1601,EZR,PDPN
1602,MSN,PDPN
1603,APLP2,PIGR
1604,CD99,PILRA
1605,CCL18,PITPNM3
1606,PLAU,PLAUR
1607,MELTF,PLG
1608,PLG,PLGRKT
1609,SLPI,PLSCR1
1610,SLPI,PLSCR4
1611,SERPINF1,PLXDC1
1612,SERPINF1,PLXDC2
1613,SEMA6A,PLXNA4
1614,SEMA6B,PLXNA4
1615,APLP2,PLXNA4
1616,APP,PLXNA4
1617,SEMA4A,PLXNB1
1618,ANG,PLXNB2
1619,SEMA4D,PLXNB2
1620,SEMA4A,PLXNB2
1621,SEMA4C,PLXNB2
1622,SEMA4A,PLXNB3
1623,SEMA4D,PLXNB3
1624,SEMA7A,PLXNC1
1625,SEMA4A,PLXND1
1626,SEMA3E,PLXND1
1627,PRL,PRLR
1628,ICAM5,PRTG
1629,IGFBP7,PRTG
1630,IGFBPL1,PRTG
1631,LTF,PRTG
1632,WFIKKN2,PRTG
1633,SHH,PTCH1
1634,IHH,PTCH1
1635,IHH,PTCH2
1636,PTH,PTH1R
1637,PTHLH,PTH1R
1638,PTH,PTH2R
1639,PTHLH,PTH2R
1640,GAS1,PTPRA
1641,SEMA4D,PTPRC
1642,LGALS1,PTPRC
1643,MRC1,PTPRC
1644,IL1RAP,PTPRD
1645,LRFN1,PTPRD
1646,LRFN2,PTPRD
1647,LRFN3,PTPRD
1648,LRFN4,PTPRD
1649,LRFN5,PTPRD
1650,OMG,PTPRD
1651,LRFN1,PTPRF
1652,LRFN2,PTPRF
1653,LRFN4,PTPRF
1654,LRFN5,PTPRF
1655,OMG,PTPRF
1656,IL1RAP,PTPRF
1657,SDC2,PTPRJ
1658,PTPRK,PTPRK
1659,PTPRM,PTPRM
1660,DSCAM,PTPRM
1661,DSCAML1,PTPRM
1662,IL1RAP,PTPRS
1663,IL1RAPL1,PTPRS
1664,IL1RAPL2,PTPRS
1665,LRFN1,PTPRS
1666,LRFN2,PTPRS
1667,LRFN3,PTPRS
1668,LRFN4,PTPRS
1669,LRFN5,PTPRS
1670,OMG,PTPRS
1671,DSCAM,PTPRT
1672,DSCAML1,PTPRT
1673,OMG,PTPRU
1674,OSTN,PTPRU
1675,CNTN1,PTPRZ1
1676,TNC,PTPRZ1
1677,IL34,PTPRZ1
1678,PTN,PTPRZ1
1679,NECTIN3,PVR
1680,NECTIN2,PVRIG
1681,SLIT1,ROBO1
1682,SLIT1,ROBO2
1683,ANXA2,ROBO4
1684,WNT5A,ROR1
1685,PTN,ROR1
1686,WNT1,ROR2
1687,WNT3,ROR2
1688,WNT3A,ROR2
1689,WNT5A,ROR2
1690,APOE,SCARB1
1691,TGFB1,SDC2
1692,ADCYAP1,SCTR
1693,HGF,SDC1
1694,CCL5,SDC1
1695,FGF2,SDC1
1696,CXCL8,SDC2
1697,FGF2,SDC2
1698,TNFSF13,SDC2
1699,MDK,SDC4
1700,TFPI,SDC4
1701,TNC,SDC4
1702,CCL5,SDC4
1703,CCN1,SDC4
1704,RSPO3,SDC4
1705,VTN,SDC4
1706,FGF2,SDC4
1707,THBS1,SDC4
1708,CEACAM1,SELE
1709,GLG1,SELE
1710,SERPING1,SELE
1711,PODXL2,SELE
1712,BSG,SELE
1713,SELPLG,SELE
1714,CD34,SELE
1715,ANPEP,SELE
1716,CD44,SELE
1717,MUC7,SELL
1718,PODXL,SELL
1719,CFH,SELL
1720,SELPLG,SELL
1721,CD34,SELL
1722,PODXL2,SELL
1723,VCAN,SELL
1724,SELPLG,SELP
1725,CD24,SELP
1726,PODXL2,SELP
1727,CD34,SELP
1728,SERPING1,SELP
1729,VCAN,SELP
1730,IL1F10,SIGIRR
1731,CD52,SIGLEC10
1732,CD24,SIGLEC10
1733,SELPLG,SIGLEC5
1734,SFTPD,SIRPA
1735,CD47,SIRPA
1736,CD47,SIRPG
1737,SLAMF1,SLAMF1
1738,SLAMF6,SLAMF6
1739,SMOC1,SMOC2
1740,NGF,SORCS3
1741,LRPAP1,SORL1
1742,LRPAP1,SORT1
1743,GRN,SORT1
1744,ICAM1,SPN
1745,SIGLEC1,SPN
1746,TXLNA,STX1A
1747,TXLNA,STX3
1748,TXLNA,STX4
1749,ANGPT1,TEK
1750,ANGPT2,TEK
1751,ANGPT4,TEK
1752,LECT2,TIE1
1753,NECTIN3,TIGIT
1754,NECTIN2,TIGIT
1755,PVR,TIGIT
1756,SFTPA1,TLR2
1757,SFTPA2,TLR2
1758,RNASE2,TLR2
1759,DCN,TLR2
1760,BGN,TLR2
1761,PRG4,TLR2
1762,VCAN,TLR2
1763,ANXA2,TLR2
1764,S100A8,TLR4
1765,DEFB4A,TLR4
1766,DEFB4B,TLR4
1767,ZG16B,TLR4
1768,DCN,TLR4
1769,BGN,TLR4
1770,PRG4,TLR4
1771,S100A9,TLR4
1772,ZG16B,TLR5
1773,ZG16B,TLR6
1774,RNASET2,TLR8
1775,HHLA2,TMIGD2
1776,TNFSF10,TNFRSF10A
1777,TNFSF10,TNFRSF10B
1778,TNFSF10,TNFRSF10C
1779,TNFSF10,TNFRSF10D
1780,TNFSF11,TNFRSF11A
1781,TNFSF10,TNFRSF11B
1782,TNFSF11,TNFRSF11B
1783,VWF,TNFRSF11B
1784,TNFSF12,TNFRSF12A
1785,TNFSF13,TNFRSF13B
1786,TNFSF13B,TNFRSF13B
1787,TNFSF13B,TNFRSF13C
1788,BTLA,TNFRSF14
1789,CD160,TNFRSF14
1790,LTA,TNFRSF14
1791,TNFSF14,TNFRSF14
1792,TNFSF13,TNFRSF17
1793,TNFSF13B,TNFRSF17
1794,TNFSF18,TNFRSF18
1795,LTA,TNFRSF1A
1796,TNF,TNFRSF1A
1797,GRN,TNFRSF1A
1798,LTA,TNFRSF1B
1799,TNF,TNFRSF1B
1800,GRN,TNFRSF1B
1801,APP,TNFRSF21
1802,PI16,TNFRSF21
1803,TNFSF15,TNFRSF25
1804,TNFSF4,TNFRSF4
1805,FASLG,TNFRSF6B
1806,TNFSF14,TNFRSF6B
1807,TNFSF15,TNFRSF6B
1808,TNFSF8,TNFRSF8
1809,TNFSF9,TNFRSF9
1810,GAS6,TYRO3
1811,PROS1,TYRO3
1812,NTN1,UNC5C
1813,TGFB1,VASN
1814,JAG1,VASN
1815,JAG2,VASN
1816,ADCYAP1,VIPR1
1817,ADCYAP1,VIPR2
1818,LRPAP1,VLDLR
1819,RELN,VLDLR
1820,HLA-E,VSIR
1821,HLA-F,VSIR
1822,IGSF11,VSIR
1823,BTLA,VTCN1
1824,WNT1,WIF1
1825,XCL1,XCR1
1826,XCL2,XCR1
1827,CDH2,FCER2
1828,FGA,ITGAX
1829,FGB,ITGAX
1830,FGG,ITGAX
1831,ICAM1,ITGAM
1832,ICAM2,CD209
1833,ICAM3,CD209
1834,ICAM3,CLEC4M
1835,L1CAM,EZR
1836,LAMA3,ITGA3
1837,LAMA3,ITGB1
1838,LAMC1,ITGA2
1839,LAMC1,ITGB1
1840,LAMC1,ITGA6
1841,LAMC1,ITGA7
1842,LAMC1,ITGAV
1843,LAMC1,ITGB3
1844,F10,ITGAM
1845,F10,ITGB2
1846,F2,F2R
1847,F2,F2RL2
1848,F2,F2RL3
1849,F2,GP1BA
1850,F2,GP1BB
1851,F2,ITGA2B
1852,F2,ITGB3
1853,F2,ITGAV
1854,F2,THBD
1855,TNC,ITGA4
1856,TNC,ITGA8
1857,TNC,ITGA9
1858,TNC,ITGB6
1859,THBS1,ITGA2B
1860,THBS1,ITGB3
1861,THBS1,ITGA3
1862,THBS1,ITGB1
1863,THBS1,ITGAV
1864,VTN,ITGA2B
1865,PLA2G2A,ITGA4
1866,PLA2G2A,ITGB1
1867,PLA2G2A,ITGA5
1868,CHAT,CHRM1
1869,CHAT,CHRM2
1870,CHAT,CHRM3
1871,CHAT,CHRM4
1872,CHAT,CHRM5
1873,CHAT,CHRNA1
1874,CHAT,CHRNA2
1875,CHAT,CHRNB3
1876,CHAT,CHRNA3
1877,CHAT,CHRNA5
1878,CHAT,CHRNB2
1879,CHAT,CHRNB4
1880,CHAT,CHRNA4
1881,CHAT,CHRNA6
1882,CHAT,CHRNA7
1883,NT5E,ADORA1
1884,SLC29A1,ADORA1
1885,NT5E,ADORA2A
1886,SLC29A1,ADORA2A
1887,NT5E,ADORA2B
1888,SLC29A1,ADORA2B
1889,NT5E,ADORA3
1890,SLC29A1,ADORA3
1891,SLC29A2,ADORA1
1892,SLC29A2,ADORA2A
1893,SLC29A2,ADORA2B
1894,SLC29A2,ADORA3
1895,SLC29A3,ADORA1
1896,SLC29A3,ADORA2A
1897,SLC29A3,ADORA2B
1898,SLC29A3,ADORA3
1899,SLC29A4,ADORA1
1900,SLC29A4,ADORA2A
1901,SLC29A4,ADORA2B
1902,SLC29A4,ADORA3
1903,PNMT,ADRA1A
1904,SLC18A1,ADRA1A
1905,PNMT,ADRA1B
1906,SLC18A1,ADRA1B
1907,PNMT,ADRA1D
1908,SLC18A1,ADRA1D
1909,PNMT,ADRA2A
1910,SLC18A1,ADRA2A
1911,PNMT,ADRA2B
1912,SLC18A1,ADRA2B
1913,PNMT,ADRA2C
1914,SLC18A1,ADRA2C
1915,PNMT,ADRB1
1916,SLC18A1,ADRB1
1917,PNMT,ADRB2
1918,SLC18A1,ADRB2
1919,PNMT,ADRB3
1920,SLC18A1,ADRB3
1921,SLC18A2,ADRA1A
1922,SLC18A2,ADRA1B
1923,SLC18A2,ADRA1D
1924,SLC18A2,ADRA2A
1925,SLC18A2,ADRA2B
1926,SLC18A2,ADRA2C
1927,SLC18A2,ADRB1
1928,SLC18A2,ADRB2
1929,SLC18A2,ADRB3
1930,ADM,GPER1
1931,ADM2,CALCRL
1932,ADM2,GPER1
1933,ADM2,RAMP3
1934,ADM2,RAMP2
1935,AGRP,MC2R
1936,AGRP,MC3R
1937,AGRP,MC4R
1938,AGRP,MC5R
1939,ASIP,MC1R
1940,AGRN,LRP4
1941,AGRN,MUSK
1942,AGRN,PTPRS
1943,IAPP,CALCR
1944,APP,SORL1
1945,APP,TREM2
1946,APP,TYROBP
1947,CYP11B2,NR3C1
1948,CYP11B2,NR3C2
1949,SRD5A1,AR
1950,SRD5A2,AR
1951,SRD5A3,AR
1952,CYP17A1,AR
1953,HSD17B6,NR1H4
1954,CYP27B1,VDR
1955,CYP11B1,NR3C1
1956,CYP11B1,NR3C2
1957,CYP21A2,NR3C2
1958,CYP19A1,ESR1
1959,CYP19A1,ESR2
1960,CYP19A1,GPER1
1961,CYP19A1,NR1I2
1962,CYP11A1,NR1H4
1963,CYP3A4,NR1H4
1964,CYP11A1,NR1I2
1965,FDX1,NR1I2
1966,FDX2,NR1I2
1967,FDXR,NR1I2
1968,HSD17B12,AR
1969,HSD17B3,AR
1970,APOA1,ABCA1
1971,APOA1,AMN
1972,APOA1,CUBN
1973,APOA1,TREM2
1974,APOA1,TYROBP
1975,APOA2,TREM2
1976,APOA2,TYROBP
1977,APOB,APOBR
1978,APOB,TREM2
1979,APOB,TYROBP
1980,APOE,TREM2
1981,APOE,TYROBP
1982,DAGLA,CNR1
1983,DAGLA,CNR2
1984,DAGLA,GPR55
1985,DAGLB,CNR1
1986,DAGLB,CNR2
1987,DAGLB,GPR55
1988,NGF,NGFR
1989,NGF,NTRK1
1990,NGF,SORT1
1991,GDF2,ACVR1B
1992,GDF2,BMPR1B
1993,BDNF,NGFR
1994,BDNF,NTRK2
1995,BDNF,SORT1
1996,CALCB,CALCR
1997,CLSTN1,NRXN1
1998,CLSTN1,NRXN2
1999,CLSTN1,NRXN3
2000,CLSTN2,NRXN1
2001,CLSTN2,NRXN2
2002,CLSTN2,NRXN3
2003,CLSTN3,NRXN1
2004,CLSTN3,NRXN2
2005,CLSTN3,NRXN3
2006,CTSG,F2RL3
2007,CTSG,FPR1
2008,CCL11,DPP4
2009,CCL22,DPP4
2010,CCL3,CCR3
2011,CXCL10,DPP4
2012,CXCL11,DPP4
2013,CXCL12,DPP4
2014,CXCL2,DPP4
